time,open,high,low,close,volume
2020-10-01 06:30,117.64,117.72,117.03,117.1461,1967133.0
2020-10-01 06:31,117.16,117.38,116.91,117.29,943581
2020-10-01 06:32,117.25,117.26,116.91,116.97,625306
2020-10-01 06:33,116.97,117.03,116.7584,116.9489,644414
2020-10-01 06:34,116.9522,117.08,116.78,117.02,698327
2020-10-01 06:35,117.025,117.07,116.82,116.98,568102
2020-10-01 06:36,116.99,116.99,116.58,116.78,763016
2020-10-01 06:37,116.765,116.765,116.41,116.68,727229
2020-10-01 06:38,116.67,116.84,116.53,116.7399,547533
2020-10-01 06:39,116.74,116.8,116.6,116.72,370353
2020-10-01 06:40,116.7,116.79,116.53,116.6,476474
2020-10-01 06:41,116.6,116.92,116.57,116.72,599959
2020-10-01 06:42,116.72,116.92,116.68,116.89,469071
2020-10-01 06:43,116.89,117.09,116.83,117.0149,753046
2020-10-01 06:44,117.01,117.0442,116.86,116.955,479251
2020-10-01 06:45,116.955,117.05,116.7711,116.87,536110
2020-10-01 06:46,116.86,116.8685,116.57,116.6101,496389
2020-10-01 06:47,116.61,116.75,116.605,116.69,348122
2020-10-01 06:48,116.69,116.7844,116.6316,116.74,355224
2020-10-01 06:49,116.75,116.75,116.56,116.6784,356835
2020-10-01 06:50,116.67,117.72,116.41,116.42,512905
2020-10-01 06:51,116.42,116.45,116.3,116.44,538255
2020-10-01 06:52,116.43,116.43,116.26,116.265,426555
2020-10-01 06:53,116.26,116.33,116.17,116.25,501110
2020-10-01 06:54,116.245,116.36,116.17,116.18,496554
2020-10-01 06:55,116.19,116.35,116.16,116.3,556597
2020-10-01 06:56,116.3093,116.475,116.28,116.395,494382
2020-10-01 06:57,116.4,116.5424,116.37,116.54,343692
2020-10-01 06:58,116.5337,116.54,116.375,116.45,385460
2020-10-01 06:59,116.45,116.45,116.35,116.42,242420
2020-10-01 07:00,116.41,116.49,116.3142,116.335,347411
2020-10-01 07:01,116.34,116.46,116.28,116.3699,319712
2020-10-01 07:02,116.365,116.81,116.36,116.781,692717
2020-10-01 07:03,116.78,116.92,116.77,116.89,433885
2020-10-01 07:04,116.88,116.93,116.8,116.91,478596
2020-10-01 07:05,116.92,116.98,116.79,116.91,540358
2020-10-01 07:06,116.91,116.9648,116.7748,116.775,358760
2020-10-01 07:07,116.77,116.835,116.65,116.6599,370216
2020-10-01 07:08,116.6593,116.66,116.38,116.42,501477
2020-10-01 07:09,116.42,116.55,116.33,116.5101,516624
2020-10-01 07:10,116.51,116.67,116.49,116.6345,326266
2020-10-01 07:11,116.63,116.64,116.295,116.34,373387
2020-10-01 07:12,116.335,116.42,116.29,116.3393,339844
2020-10-01 07:13,116.335,116.51,116.335,116.46,246130
2020-10-01 07:14,116.44,116.68,116.44,116.66,348197
2020-10-01 07:15,116.66,116.75,116.63,116.695,345787
2020-10-01 07:16,116.69,116.7,116.535,116.58,286554
2020-10-01 07:17,116.58,116.83,116.49,116.775,399929
2020-10-01 07:18,116.77,116.88,116.7474,116.815,293610
2020-10-01 07:19,116.815,116.85,116.7301,116.8,253991
2020-10-01 07:20,116.8,116.86,116.76,116.85,212174
2020-10-01 07:21,116.84,116.89,116.76,116.7993,275860
2020-10-01 07:22,116.797,116.83,116.65,116.68,260125
2020-10-01 07:23,116.68,116.79,116.5701,116.71,271508
2020-10-01 07:24,116.695,116.78,116.645,116.6701,164361
2020-10-01 07:25,116.68,116.68,116.42,116.57,341346
2020-10-01 07:26,116.56,116.585,116.43,116.47,170733
2020-10-01 07:27,116.46,116.59,116.4493,116.49,163600
2020-10-01 07:28,116.48,116.55,116.46,116.5029,168191
2020-10-01 07:29,116.52,116.69,116.49,116.6501,241541
2020-10-01 07:30,116.655,116.67,116.49,116.645,215388
2020-10-01 07:31,116.645,116.8,116.57,116.76,297231
2020-10-01 07:32,116.7588,116.82,116.72,116.7501,237555
2020-10-01 07:33,116.75,116.89,116.73,116.8461,265459
2020-10-01 07:34,116.8365,116.95,116.82,116.905,337638
2020-10-01 07:35,116.9,116.95,116.84,116.92,234785
2020-10-01 07:36,116.92,116.92,116.8399,116.86,218477
2020-10-01 07:37,116.86,116.94,116.86,116.93,209998
2020-10-01 07:38,116.93,117.02,116.85,116.88,484030
2020-10-01 07:39,116.885,116.96,116.875,116.9266,159059
2020-10-01 07:40,116.92,116.95,116.73,116.7431,320036
2020-10-01 07:41,116.75,116.8,116.66,116.73,305625
2020-10-01 07:42,116.74,116.83,116.72,116.7576,215378
2020-10-01 07:43,116.75,116.82,116.66,116.7426,209877
2020-10-01 07:44,116.745,116.83,116.7001,116.81,222941
2020-10-01 07:45,116.81,116.85,116.73,116.7572,178717
2020-10-01 07:46,116.7508,116.81,116.7214,116.77,138041
2020-10-01 07:47,116.77,116.81,116.6171,116.66,296857
2020-10-01 07:48,116.67,116.78,116.65,116.76,190698
2020-10-01 07:49,116.7682,116.81,116.65,116.7,233508
2020-10-01 07:50,116.7001,116.73,116.55,116.61,242378
2020-10-01 07:51,116.61,116.75,116.61,116.7485,194161
2020-10-01 07:52,116.7356,116.92,116.7,116.91,352670
2020-10-01 07:53,116.91,116.9285,116.83,116.895,175201
2020-10-01 07:54,116.8901,116.9,116.78,116.81,192939
2020-10-01 07:55,116.81,116.87,116.74,116.7737,122005
2020-10-01 07:56,116.76,116.7799,116.51,116.5885,294583
2020-10-01 07:57,116.5899,116.6,116.51,116.5515,236919
2020-10-01 07:58,116.555,117.67,116.55,116.615,218500
2020-10-01 07:59,116.61,116.8,116.51,116.7648,302341
2020-10-01 08:00,116.765,116.9,116.49,116.56,445410
2020-10-01 08:01,116.56,116.65,116.51,116.58,200674
2020-10-01 08:02,116.57,116.62,116.5124,116.57,154017
2020-10-01 08:03,116.574,116.785,116.5465,116.62,229111
2020-10-01 08:04,116.62,116.77,116.57,116.715,203208
2020-10-01 08:05,116.71,116.77,116.63,116.6401,147039
2020-10-01 08:06,116.655,116.75,116.53,116.61,282252
2020-10-01 08:07,116.619,116.6485,116.53,116.5399,143345
2020-10-01 08:08,116.54,116.575,116.38,116.4385,388932
2020-10-01 08:09,116.4285,116.51,116.39,116.43,169801
2020-10-01 08:10,116.4301,116.4499,116.17,116.2393,499574
2020-10-01 08:11,116.24,116.38,116.14,116.354,335147
2020-10-01 08:12,116.34,116.38,116.26,116.31,215786
2020-10-01 08:13,116.3001,116.45,116.2792,116.44,260999
2020-10-01 08:14,116.45,116.49,116.345,116.3923,198372
2020-10-01 08:15,116.38,116.5401,116.35,116.4813,252557
2020-10-01 08:16,116.48,116.56,116.435,116.45,187593
2020-10-01 08:17,116.45,116.5199,116.3693,116.452,234143
2020-10-01 08:18,116.44,116.61,116.43,116.51,245722
2020-10-01 08:19,116.5,116.5,116.38,116.45,181904
2020-10-01 08:20,116.455,116.5607,116.41,116.5193,172097
2020-10-01 08:21,116.51,116.61,116.49,116.5754,162862
2020-10-01 08:22,116.575,116.69,116.57,116.69,206459
2020-10-01 08:23,116.68,116.7,116.58,116.605,141897
2020-10-01 08:24,116.6099,116.695,116.56,116.6358,207710
2020-10-01 08:25,116.63,116.71,116.61,116.6801,168513
2020-10-01 08:26,116.67,116.7,116.62,116.6495,154848
2020-10-01 08:27,116.6401,116.71,116.6,116.6401,195463
2020-10-01 08:28,116.6401,116.73,116.64,116.675,187786
2020-10-01 08:29,116.67,116.7,116.62,116.65,135941
2020-10-01 08:30,116.66,116.675,116.6,116.66,113186
2020-10-01 08:31,116.67,116.72,116.62,116.63,170008
2020-10-01 08:32,116.63,116.68,116.62,116.67,114310
2020-10-01 08:33,116.6593,116.69,116.6212,116.6508,134145
2020-10-01 08:34,116.66,116.78,116.66,116.7301,321970
2020-10-01 08:35,116.7373,116.88,116.7373,116.8225,298192
2020-10-01 08:36,116.8212,116.8212,116.72,116.72,192335
2020-10-01 08:37,116.72,116.77,116.65,116.7,173895
2020-10-01 08:38,116.71,116.77,116.69,116.72,118028
2020-10-01 08:39,116.72,116.77,116.7,116.75,108176
2020-10-01 08:40,116.75,116.83,116.71,116.7213,147095
2020-10-01 08:41,116.7299,116.745,116.66,116.68,159512
2020-10-01 08:42,116.68,116.72,116.61,116.6683,159077
2020-10-01 08:43,116.6601,116.725,116.65,116.705,141524
2020-10-01 08:44,116.7,116.74,116.66,116.6728,137172
2020-10-01 08:45,116.68,116.6999,116.5755,116.64,155857
2020-10-01 08:46,116.63,116.638,116.53,116.57,188230
2020-10-01 08:47,116.57,116.62,116.5366,116.575,137542
2020-10-01 08:48,116.575,116.59,116.48,116.55,148846
2020-10-01 08:49,116.549,116.58,116.43,116.44,168642
2020-10-01 08:50,116.44,116.5101,116.415,116.415,184882
2020-10-01 08:51,116.415,116.415,116.32,116.3692,259136
2020-10-01 08:52,116.37,116.46,116.3,116.4227,261599
2020-10-01 08:53,116.43,116.4693,116.385,116.4292,148308
2020-10-01 08:54,116.43,116.43,116.37,116.41,125394
2020-10-01 08:55,116.41,116.46,116.3801,116.415,127151
2020-10-01 08:56,116.43,116.453,116.375,116.44,131831
2020-10-01 08:57,116.445,116.52,116.39,116.4,185372
2020-10-01 08:58,116.405,116.41,116.31,116.32,199485
2020-10-01 08:59,116.32,116.36,116.24,116.315,277052
2020-10-01 09:00,116.315,116.35,116.2751,116.2908,139115
2020-10-01 09:01,116.29,116.3,116.12,116.1585,309646
2020-10-01 09:02,116.1597,116.1599,116.03,116.12,404487
2020-10-01 09:03,116.12,116.17,115.98,116.07,542954
2020-10-01 09:04,116.0694,116.11,115.94,116.05,357811
2020-10-01 09:05,116.0401,116.06,115.97,116.0593,241462
2020-10-01 09:06,116.06,116.13,116.02,116.0799,283466
2020-10-01 09:07,116.07,116.1258,116.01,116.1,212669
2020-10-01 09:08,116.105,116.105,116.03,116.036,178589
2020-10-01 09:09,116.04,116.0858,115.8858,116.0082,339101
2020-10-01 09:10,116.0185,116.1,115.95,116.0918,295576
2020-10-01 09:11,116.095,116.2,116.095,116.135,294634
2020-10-01 09:12,116.1393,116.18,116.09,116.165,230651
2020-10-01 09:13,116.165,116.165,116.07,116.095,197454
